Algoritmo,ID_VETOR,NumeroEntradas,Tempo,TipoEntrada
BubbleSort,3,42,3.3e-06,Aleatória
BubbleSort,3,56,4.3e-06,Aleatória
BubbleSort,3,75,5.8e-06,Aleatória
BubbleSort,3,100,9.3e-06,Aleatória
BubbleSort,3,133,1.45e-05,Aleatória
BubbleSort,3,178,2.26e-05,Aleatória
BubbleSort,3,237,3.81e-05,Aleatória
BubbleSort,3,316,5.81e-05,Aleatória
BubbleSort,3,422,0.000101,Aleatória
BubbleSort,3,562,0.0001686,Aleatória
BubbleSort,3,750,0.0002901,Aleatória
BubbleSort,3,1000,0.0005065,Aleatória
BubbleSort,3,1200,0.0007044,Aleatória
BubbleSort,3,1441,0.0010221,Aleatória
BubbleSort,3,1730,0.0015488,Aleatória
BubbleSort,3,2077,0.0022017,Aleatória
BubbleSort,3,2493,0.0029595,Aleatória
BubbleSort,3,2993,0.0045485,Aleatória
BubbleSort,3,3593,0.0065269,Aleatória
BubbleSort,3,4313,0.0097724,Aleatória
BubbleSort,3,5177,0.0137988,Aleatória
BubbleSort,3,6215,0.0215411,Aleatória
BubbleSort,3,7461,0.03335,Aleatória
BubbleSort,3,8957,0.0545618,Aleatória
BubbleSort,3,10752,0.0964967,Aleatória
BubbleSort,3,12907,0.1525885,Aleatória
BubbleSort,3,15495,0.2365894,Aleatória
BubbleSort,3,18601,0.3752094,Aleatória
BubbleSort,3,22330,0.5511362,Aleatória
BubbleSort,3,26806,0.8396597999999998,Aleatória
BubbleSort,3,32179,1.252039,Aleatória
BubbleSort,3,38629,1.8574943,Aleatória
BubbleSort,3,46373,2.7620537,Aleatória
BubbleSort,3,55668,4.0327472,Aleatória
BubbleSort,3,66827,5.9422473,Aleatória
BubbleSort,3,80223,8.627958299999998,Aleatória
BubbleSort,3,96304,12.5953891,Aleatória
BubbleSort,3,115609,18.2842861,Aleatória
BubbleSort,3,138784,26.3842536,Aleatória
BubbleSort,3,166604,38.1699627,Aleatória
BubbleSort,3,200000,55.7345764,Aleatória
BubbleSort,4,1,3.1e-06,Aleatória
BubbleSort,4,2,2e-06,Aleatória
BubbleSort,4,3,2.2e-06,Aleatória
BubbleSort,4,4,2.2e-06,Aleatória
BubbleSort,4,6,2.1e-06,Aleatória
BubbleSort,4,7,2e-06,Aleatória
BubbleSort,4,10,2.2e-06,Aleatória
BubbleSort,4,13,2.3e-06,Aleatória
BubbleSort,4,18,2.3e-06,Aleatória
BubbleSort,4,24,2.6e-06,Aleatória
BubbleSort,4,32,3.2e-06,Aleatória
BubbleSort,4,42,3.6e-06,Aleatória
BubbleSort,4,56,5.1e-06,Aleatória
BubbleSort,4,75,6.4e-06,Aleatória
BubbleSort,4,100,1.1e-05,Aleatória
BubbleSort,4,133,1.54e-05,Aleatória
BubbleSort,4,178,2.45e-05,Aleatória
BubbleSort,4,237,4.01e-05,Aleatória
BubbleSort,4,316,6.82e-05,Aleatória
BubbleSort,4,422,0.0001038,Aleatória
BubbleSort,4,562,0.0001743,Aleatória
BubbleSort,4,750,0.0003048,Aleatória
BubbleSort,4,1000,0.0005816,Aleatória
BubbleSort,4,1200,0.0007816999999999,Aleatória
BubbleSort,4,1441,0.0011058,Aleatória
BubbleSort,4,1730,0.0015465,Aleatória
BubbleSort,4,2077,0.0023052,Aleatória
BubbleSort,4,2493,0.0031014,Aleatória
BubbleSort,4,2993,0.0046847,Aleatória
BubbleSort,4,3593,0.0066018,Aleatória
BubbleSort,4,4313,0.0123671,Aleatória
BubbleSort,4,5177,0.0149176,Aleatória
BubbleSort,4,6215,0.0223083,Aleatória
BubbleSort,4,7461,0.0378536,Aleatória
BubbleSort,4,8957,0.0572677,Aleatória
BubbleSort,4,10752,0.0987926,Aleatória
BubbleSort,4,12907,0.1486326,Aleatória
BubbleSort,4,15495,0.2320043,Aleatória
BubbleSort,4,18601,0.3768852,Aleatória
BubbleSort,4,22330,0.5617598,Aleatória
BubbleSort,4,26806,0.8434224,Aleatória
BubbleSort,4,32179,1.2680914,Aleatória
BubbleSort,4,38629,1.8951189,Aleatória
BubbleSort,4,46373,2.8015841,Aleatória
BubbleSort,4,55668,4.2404048,Aleatória
BubbleSort,4,66827,5.9354606,Aleatória
BubbleSort,4,80223,8.5762233,Aleatória
BubbleSort,4,96304,12.6693062,Aleatória
BubbleSort,4,115609,17.9159938,Aleatória
BubbleSort,4,138784,26.2389381,Aleatória
BubbleSort,4,166604,38.1603656,Aleatória
BubbleSort,4,200000,54.7672133,Aleatória
BubbleSort,5,1,2.8e-06,Aleatória
BubbleSort,5,2,2.1e-06,Aleatória
BubbleSort,5,3,2e-06,Aleatória
BubbleSort,5,4,1.3e-06,Aleatória
BubbleSort,5,6,1.0000000000000002e-06,Aleatória
BubbleSort,5,7,1.1e-06,Aleatória
BubbleSort,5,10,2.3e-06,Aleatória
BubbleSort,5,13,2.4e-06,Aleatória
BubbleSort,5,18,2.6e-06,Aleatória
BubbleSort,5,24,2.9e-06,Aleatória
BubbleSort,5,32,3.2e-06,Aleatória
BubbleSort,5,42,4e-06,Aleatória
BubbleSort,5,56,5.6e-06,Aleatória
BubbleSort,5,75,7.8e-06,Aleatória
BubbleSort,5,100,1.1e-05,Aleatória
BubbleSort,5,133,1.47e-05,Aleatória
BubbleSort,5,178,2.19e-05,Aleatória
BubbleSort,5,237,3.51e-05,Aleatória
BubbleSort,5,316,6.04e-05,Aleatória
BubbleSort,5,422,9.89e-05,Aleatória
BubbleSort,5,562,0.0001739,Aleatória
BubbleSort,5,750,0.0003061,Aleatória
BubbleSort,5,1000,0.0005284,Aleatória
BubbleSort,5,1200,0.0007324999999999,Aleatória
BubbleSort,5,1441,0.00104,Aleatória
BubbleSort,5,1730,0.0014521,Aleatória
BubbleSort,5,2077,0.0021361,Aleatória
BubbleSort,5,2493,0.0031333,Aleatória
BubbleSort,5,2993,0.0044216,Aleatória
BubbleSort,5,3593,0.0067147,Aleatória
BubbleSort,5,4313,0.0093377,Aleatória
BubbleSort,5,5177,0.0150374,Aleatória
BubbleSort,5,6215,0.0213487,Aleatória
BubbleSort,5,7461,0.0336563,Aleatória
BubbleSort,5,8957,0.0540955,Aleatória
BubbleSort,5,10752,0.0880134999999999,Aleatória
BubbleSort,5,12907,0.1420991,Aleatória
BubbleSort,5,15495,0.228093,Aleatória
BubbleSort,5,18601,0.3551384,Aleatória
BubbleSort,5,22330,0.5443743,Aleatória
BubbleSort,5,26806,0.8273585,Aleatória
BubbleSort,5,32179,1.2332418,Aleatória
BubbleSort,5,38629,1.8249399,Aleatória
BubbleSort,5,46373,2.696731,Aleatória
BubbleSort,5,55668,3.9591142,Aleatória
BubbleSort,5,66827,5.7944066,Aleatória
BubbleSort,5,80223,8.4673983,Aleatória
BubbleSort,5,96304,12.2993954,Aleatória
BubbleSort,5,115609,18.2665473,Aleatória
BubbleSort,5,138784,26.3554632,Aleatória
BubbleSort,5,166604,37.6027731,Aleatória
BubbleSort,5,200000,54.7997719,Aleatória
BubbleSort,6,1,2.9e-06,Aleatória
BubbleSort,6,2,1.5e-06,Aleatória
BubbleSort,6,3,1.2e-06,Aleatória
BubbleSort,6,4,1.4e-06,Aleatória
BubbleSort,6,6,1.3e-06,Aleatória
BubbleSort,6,7,1.3e-06,Aleatória
BubbleSort,6,10,1.3e-06,Aleatória
BubbleSort,6,13,1.7e-06,Aleatória
BubbleSort,6,18,2.6e-06,Aleatória
BubbleSort,6,24,2e-06,Aleatória
BubbleSort,6,32,4.1e-06,Aleatória
BubbleSort,6,42,3.5e-06,Aleatória
BubbleSort,6,56,4.4e-06,Aleatória
BubbleSort,6,75,3.94e-05,Aleatória
BubbleSort,6,100,9.1e-06,Aleatória
BubbleSort,6,133,1.33e-05,Aleatória
BubbleSort,6,178,2.95e-05,Aleatória
BubbleSort,6,237,3.82e-05,Aleatória
BubbleSort,6,316,8.129999999999998e-05,Aleatória
BubbleSort,6,422,0.0001238,Aleatória
BubbleSort,6,562,0.0001742,Aleatória
BubbleSort,6,750,0.0002879,Aleatória
BubbleSort,6,1000,0.0004856,Aleatória
BubbleSort,6,1200,0.0006883,Aleatória
BubbleSort,6,1441,0.0009659,Aleatória
BubbleSort,6,1730,0.0014718,Aleatória
BubbleSort,6,2077,0.0020316,Aleatória
BubbleSort,6,2493,0.0030598,Aleatória
BubbleSort,6,2993,0.0042147,Aleatória
BubbleSort,6,3593,0.0067138,Aleatória
BubbleSort,6,4313,0.0094452,Aleatória
BubbleSort,6,5177,0.014569,Aleatória
BubbleSort,6,6215,0.021993,Aleatória
BubbleSort,6,7461,0.0341234,Aleatória
BubbleSort,6,8957,0.0575911,Aleatória
BubbleSort,6,10752,0.0913686,Aleatória
BubbleSort,6,12907,0.1444067,Aleatória
BubbleSort,6,15495,0.2332319,Aleatória
BubbleSort,6,18601,0.3645797,Aleatória
BubbleSort,6,22330,0.5642162,Aleatória
BubbleSort,6,26806,0.8495595999999999,Aleatória
BubbleSort,6,32179,1.2570183,Aleatória
BubbleSort,6,38629,1.8769012,Aleatória
BubbleSort,6,46373,2.7813763,Aleatória
BubbleSort,6,55668,4.0420363,Aleatória
BubbleSort,6,66827,5.9385224,Aleatória
BubbleSort,6,80223,8.6352688,Aleatória
BubbleSort,6,96304,12.7099171,Aleatória
BubbleSort,6,115609,18.4308034,Aleatória
BubbleSort,6,138784,26.4592333,Aleatória
BubbleSort,6,166604,38.1760576,Aleatória
BubbleSort,6,200000,54.5931124,Aleatória
BubbleSort,7,1,3e-06,Aleatória
BubbleSort,7,2,1.4e-06,Aleatória
BubbleSort,7,3,2.3e-06,Aleatória
BubbleSort,7,4,1.7e-06,Aleatória
BubbleSort,7,6,2.1e-06,Aleatória
BubbleSort,7,7,2.6e-06,Aleatória
BubbleSort,7,10,1.2e-06,Aleatória
BubbleSort,7,13,1.2e-06,Aleatória
BubbleSort,7,18,2e-06,Aleatória
BubbleSort,7,24,1.8e-06,Aleatória
BubbleSort,7,32,2.2e-06,Aleatória
BubbleSort,7,42,3.1e-06,Aleatória
BubbleSort,7,56,3.9e-06,Aleatória
BubbleSort,7,75,6.5e-06,Aleatória
BubbleSort,7,100,9.1e-06,Aleatória
BubbleSort,7,133,1.36e-05,Aleatória
BubbleSort,7,178,2.23e-05,Aleatória
BubbleSort,7,237,3.61e-05,Aleatória
BubbleSort,7,316,6.02e-05,Aleatória
BubbleSort,7,422,0.000102,Aleatória
BubbleSort,7,562,0.0001683,Aleatória
BubbleSort,7,750,0.0002861,Aleatória
BubbleSort,7,1000,0.0005003,Aleatória
BubbleSort,7,1200,0.0007072,Aleatória
BubbleSort,7,1441,0.0009837,Aleatória
BubbleSort,7,1730,0.0016176,Aleatória
BubbleSort,7,2077,0.0020984,Aleatória
BubbleSort,7,2493,0.0029917,Aleatória
BubbleSort,7,2993,0.0043047,Aleatória
BubbleSort,7,3593,0.0065109,Aleatória
BubbleSort,7,4313,0.0096961,Aleatória
BubbleSort,7,5177,0.01416,Aleatória
BubbleSort,7,6215,0.0225101,Aleatória
BubbleSort,7,7461,0.0344128,Aleatória
BubbleSort,7,8957,0.0546375,Aleatória
BubbleSort,7,10752,0.0898198999999999,Aleatória
BubbleSort,7,12907,0.1509285,Aleatória
BubbleSort,7,15495,0.2385265,Aleatória
BubbleSort,7,18601,0.362465,Aleatória
BubbleSort,7,22330,0.5584047,Aleatória
BubbleSort,7,26806,0.8306641999999999,Aleatória
BubbleSort,7,32179,1.2371076,Aleatória
BubbleSort,7,38629,1.8581936,Aleatória
BubbleSort,7,46373,2.7245052,Aleatória
BubbleSort,7,55668,3.9835283,Aleatória
BubbleSort,7,66827,5.8648488,Aleatória
BubbleSort,7,80223,8.7027272,Aleatória
BubbleSort,7,96304,12.4655103,Aleatória
BubbleSort,7,115609,18.0939055,Aleatória
BubbleSort,7,138784,26.3172844,Aleatória
BubbleSort,7,166604,37.8802394,Aleatória
BubbleSort,7,200000,55.2654651,Aleatória
BubbleSort,8,1,3.6e-06,Aleatória
BubbleSort,8,2,1.5e-06,Aleatória
BubbleSort,8,3,2.4e-06,Aleatória
BubbleSort,8,4,1.5e-06,Aleatória
BubbleSort,8,6,1.4e-06,Aleatória
BubbleSort,8,7,1.0000000000000002e-06,Aleatória
BubbleSort,8,10,2.8e-06,Aleatória
BubbleSort,8,13,1.8e-06,Aleatória
BubbleSort,8,18,2e-06,Aleatória
BubbleSort,8,24,1.8e-06,Aleatória
BubbleSort,8,32,2.2e-06,Aleatória
BubbleSort,8,42,2.6e-06,Aleatória
BubbleSort,8,56,4.1e-06,Aleatória
BubbleSort,8,75,6e-06,Aleatória
BubbleSort,8,100,9e-06,Aleatória
BubbleSort,8,133,1.35e-05,Aleatória
BubbleSort,8,178,2.15e-05,Aleatória
BubbleSort,8,237,3.62e-05,Aleatória
BubbleSort,8,316,6.46e-05,Aleatória
BubbleSort,8,422,0.0001016,Aleatória
BubbleSort,8,562,0.0001702,Aleatória
BubbleSort,8,750,0.0002908,Aleatória
BubbleSort,8,1000,0.0004842,Aleatória
BubbleSort,8,1200,0.0007008,Aleatória
BubbleSort,8,1441,0.0009875,Aleatória
BubbleSort,8,1730,0.0014026,Aleatória
BubbleSort,8,2077,0.0020093,Aleatória
BubbleSort,8,2493,0.0029014,Aleatória
BubbleSort,8,2993,0.004766,Aleatória
BubbleSort,8,3593,0.0063941,Aleatória
BubbleSort,8,4313,0.0094391,Aleatória
BubbleSort,8,5177,0.014872,Aleatória
BubbleSort,8,6215,0.0217947,Aleatória
BubbleSort,8,7461,0.0329488,Aleatória
BubbleSort,8,8957,0.0539214,Aleatória
BubbleSort,8,10752,0.0879116999999999,Aleatória
BubbleSort,8,12907,0.1469598,Aleatória
BubbleSort,8,15495,0.2303117,Aleatória
BubbleSort,8,18601,0.370382,Aleatória
BubbleSort,8,22330,0.5557494000000001,Aleatória
BubbleSort,8,26806,0.8546028,Aleatória
BubbleSort,8,32179,1.2582484,Aleatória
BubbleSort,8,38629,1.8672166,Aleatória
BubbleSort,8,46373,2.7560041,Aleatória
BubbleSort,8,55668,4.0795114,Aleatória
